Code;Omschrijving
A-00335;Korte Singelstraat 21C Schiedam
A-00337;Nobelstraat 52 Brielle
A-00338;Dorpsstraat 58 OUDE-NIEDORP
A-00352;3e Industriestraat 11 Vlaardingen
A-00353;Jasmijnring 37 Zundert
A-00373;Professor Kamerlingh Onneslaan 134 A Schiedam
A-00387;Kerkweg 9a [huis 338] Hensbroek
A-00416;Utrechtsestraatweg 7 Oudewater
A-00420;Madeliefstraat 46C Rotterdam
A-00423;Kerkweg 9a [huisnummer 101]  Hensbroek
A-00433;Kerkweg 9a [huis 135] Hensbroek
A-00441;Aamberberg 232 Bergen op Zoom
A-00445;De Zwingel 8B, Lange Zwaluwe
A-00447;Bornerbroeksestraat 129A, Almelo
