Datum;Grootboekrekening;Omschrijving;Relatie;Debit;Credit
13-06-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huisnummer 135] Hensbroek 2025-6 13-6 + borg;50188 - Werckpost Service B.V.;; 94,50 
18-06-2025;1600 - Btw verkoop, hoog tarief (21%);Amberberg 14 Roosendaal borg + afrek;50157 - AmDor Projecten B.V.;; 324,56 
18-06-2025;1200 - Debiteuren;Marathonlaan 26 Gouda 2025-06 + borg vanaf 25-6;100178 - Bw-engineering; 5.081,65 ;
24-06-2025;1601 - Btw verkoop, laag tarief (9%);Enschotsestraat 163 Tilburg 2025-6 + borg;100212 - Optima Uitzendbureau B.V.;; 135,37 
12-06-2025;1200 - Debiteuren;Socratessstraat 168 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.;; 1.823,76 
12-06-2025;1200 - Debiteuren;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland;; 3.377,54 
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Acialaan 9 Pijacker borg;50398 - Orange Investments Group B.V.;; 65,31 
03-06-2025;1600 - Btw verkoop, hoog tarief (21%);Bettingeslag 10 Emmen 2025-5 + borg;100206 - CB Construction UAB;; 127,05 
13-06-2025;1165 - Borg;Borg;50188 - Werckpost Service B.V.;; 1.900,00 
25-06-2025;1200 - Debiteuren;Amberberg 14, Roosendaal borg;100151 - 4 Homes B.V.;; 3.300,00 
03-06-2025;1200 - Debiteuren;Punter 22 / 34 Lelystad borg en eindafrekening;50431 - Dunaj Projekty SRO;; 1.806,07 
03-06-2025;1600 - Btw verkoop, hoog tarief (21%);Punter 22 / 34 Lelystad borg en eindafrekening;50431 - Dunaj Projekty SRO;; 130,85 
12-06-2025;1000 - Kas;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 6.441,73 ;
24-06-2025;1200 - Debiteuren;Enschotsestraat 163 Tilburg 2025-6 + borg;100212 - Optima Uitzendbureau B.V.; 6.668,23 ;
12-06-2025;1000 - Kas;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland; 3.377,54 ;
12-06-2025;1601 - Btw verkoop, laag tarief (9%);Acialaan 9 Pijacker borg;50398 - Orange Investments Group B.V.;; 18,81 
24-06-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 57] Den Oever 2025-04 + borg;100197 - MNA Proud Facilities B.V.;; 38,17 
13-06-2025;1200 - Debiteuren;Kerkweg 9a [huisnummer 135] Hensbroek 2025-6 13-6 + borg;50188 - Werckpost Service B.V.; 3.670,07 ;
04-06-2025;1200 - Debiteuren;De Grouw Leek borg;50132 - Vaktec B.V.;; 2.340,00 
03-06-2025;1601 - Btw verkoop, laag tarief (9%);Deugenweerd 18  Borculo 2025-5 + borg;50286 - Employ Facilitair B.V.;; 16,27 
24-06-2025;1600 - Btw verkoop, hoog tarief (21%);Enschotsestraat 163 Tilburg 2025-6 + borg;100212 - Optima Uitzendbureau B.V.;; 78,75 
25-06-2025;1200 - Debiteuren;Willem de Rijkelaan 134, Waddinxveen Borg;100126 - Timing Uitzendteam BV;; 2.617,82 
12-06-2025;1601 - Btw verkoop, laag tarief (9%);Jacob van Offwegenlaan 26 Rijswijk borg afrek;50222 - Flexvesting B.V.;; 23,47 
12-06-2025;1000 - Kas;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 6.441,73 
24-06-2025;1600 - Btw verkoop, hoog tarief (21%);Platostraat 80 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.; 39,88 ;
24-06-2025;1200 - Debiteuren;Platostraat 80 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.; 1.219,34 ;
24-06-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 57] Den Oever 2025-04 + borg;100197 - MNA Proud Facilities B.V.;; 105,00 
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Socratessstraat 168 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.; 36,55 ;
18-06-2025;1601 - Btw verkoop, laag tarief (9%);Amberberg 14 Roosendaal borg + afrek;50157 - AmDor Projecten B.V.;; 44,82 
17-07-2025;1600 - Btw verkoop, hoog tarief (21%);Groenelaan 30B Schiedam Borg + afrek;100177 - Flexbo B.V.; 41,68 ;
22-07-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 36] Den Oever 2024-7 15-7 + borg;100197 - MNA Proud Facilities B.V.;; 108,15 
11-07-2025;1601 - Btw verkoop, laag tarief (9%);Dorpstraat 48 Lopik Borg + afrek;50441 - Oranjegroep Vastgoed B.V.;; 125,53 
15-07-2025;1165 - Borg;VAN DE MIEROP JEF + ELS Borg Verbindingsstraat 20;50443 - Jef van Mierop;; 1.206,40 
17-07-2025;1601 - Btw verkoop, laag tarief (9%);Groenelaan 30B Schiedam Borg + afrek;100177 - Flexbo B.V.;; 233,59 
22-07-2025;1200 - Debiteuren;Akkerweg 41 [huis 36] Den Oever 2024-7 15-7 + borg;100197 - MNA Proud Facilities B.V.; 4.064,79 ;
07-07-2025;1600 - Btw verkoop, hoog tarief (21%);Enschotsestraat 163, Tilburg borg en afrek;100191 - Buurman Vastgoed E B.V.;; 147,84 
14-07-2025;1200 - Debiteuren;Ruigenhoek 69, Rotterdam 2025-07 en borg;50159 - EU Facility Services; 5.613,49 ;
24-07-2025;1500 - Crediteuren;Vivir Wonen credit waarborgsom;29 - Vivir Wonen; 3.550,00 ;
23-07-2025;1200 - Debiteuren;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy;; 4.180,01 
14-07-2025;1601 - Btw verkoop, laag tarief (9%);Ruigenhoek 69, Rotterdam 2025-07 en borg;50159 - EU Facility Services;; 207,12 
14-07-2025;1601 - Btw verkoop, laag tarief (9%);Kimbrenoord 49 Rotterdam 2025-07 + borg;100221 - LogIQ Barendrecht B.V.;; 186,41 
30-07-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam afrekening borg;50182 - dockHolland Huisvesting B.V.;; 2.340,00 
23-07-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV;; 152,25 
23-07-2025;1600 - Btw verkoop, hoog tarief (21%);Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy; 115,50 ;
02-07-2025;1601 - Btw verkoop, laag tarief (9%);Sint Annalandstraat 116 Rotterdam Borg en afrek;100174 - Workforce Housing Holland B.V.; 33,29 ;
02-07-2025;1600 - Btw verkoop, hoog tarief (21%);Sint Annalandstraat 116 Rotterdam Borg en afrek;100174 - Workforce Housing Holland B.V.;; 51,84 
14-07-2025;1601 - Btw verkoop, laag tarief (9%);Kruiningenstraat 185, Rotterdam 2025-07+borg;50159 - EU Facility Services;; 207,12 
24-07-2025;1100 - NL76INGB0008980173;Vivir Wonen  2025542 Borg retour Arkelse Onderweg 24 A Gorin;29 - Vivir Wonen; 3.550,00 ;
14-07-2025;1200 - Debiteuren;Kruiningenstraat 185, Rotterdam 2025-07+borg;50159 - EU Facility Services; 5.613,49 ;
14-07-2025;1600 - Btw verkoop, hoog tarief (21%);Kruiningenstraat 185, Rotterdam 2025-07+borg;50159 - EU Facility Services;; 105,00 
22-07-2025;1601 - Btw verkoop, laag tarief (9%);Vierambachtsstraat 32-BO1 Rotterdam 2025-7 + borg;100224 - Oostkracht Bemiddeling B.V.;; 136,11 
11-07-2025;1200 - Debiteuren;Dorpstraat 48 Lopik Borg + afrek;50441 - Oranjegroep Vastgoed B.V.;; 8.983,27 
11-07-2025;1600 - Btw verkoop, hoog tarief (21%);Dorpstraat 48 Lopik Borg + afrek;50441 - Oranjegroep Vastgoed B.V.; 0,63 ;
07-07-2025;1601 - Btw verkoop, laag tarief (9%);Enschotsestraat 163, Tilburg borg en afrek;100191 - Buurman Vastgoed E B.V.; 133,95 ;
14-07-2025;1600 - Btw verkoop, hoog tarief (21%);Kimbrenoord 49 Rotterdam 2025-07 + borg;100221 - LogIQ Barendrecht B.V.;; 105,00 
23-07-2025;1601 - Btw verkoop, laag tarief (9%);Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy; 137,44 ;
22-07-2025;1200 - Debiteuren;Vierambachtsstraat 32-BO1 Rotterdam 2025-7 + borg;100224 - Oostkracht Bemiddeling B.V.; 4.192,94 ;
17-07-2025;1200 - Debiteuren;Groenelaan 30B Schiedam Borg + afrek;100177 - Flexbo B.V.; 1.088,86 ;
14-07-2025;1600 - Btw verkoop, hoog tarief (21%);Ruigenhoek 69, Rotterdam 2025-07 en borg;50159 - EU Facility Services;; 105,00 
23-07-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV; 5.255,22 ;
22-07-2025;1600 - Btw verkoop, hoog tarief (21%);Vierambachtsstraat 32-BO1 Rotterdam 2025-7 + borg;100224 - Oostkracht Bemiddeling B.V.;; 94,50 
02-07-2025;1200 - Debiteuren;Sint Annalandstraat 116 Rotterdam Borg en afrek;100174 - Workforce Housing Holland B.V.;; 2.004,50 
23-07-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV;; 72,49 
14-07-2025;1200 - Debiteuren;Kimbrenoord 49 Rotterdam 2025-07 + borg;100221 - LogIQ Barendrecht B.V.; 5.112,64 ;
07-07-2025;1200 - Debiteuren;Enschotsestraat 163, Tilburg borg en afrek;100191 - Buurman Vastgoed E B.V.;; 5.570,37 
22-07-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 36] Den Oever 2024-7 15-7 + borg;100197 - MNA Proud Facilities B.V.;; 105,00 
15-07-2025;1101 - Rabobank;VAN DE MIEROP JEF + ELS Borg Verbindingsstraat 20;50443 - Jef van Mierop; 1.206,40 ;
24-07-2025;1500 - Crediteuren;Vivir Wonen  2025542 Borg retour Arkelse Onderweg 24 A Gorin;29 - Vivir Wonen;; 3.550,00 
01-08-2025;1601 - Btw verkoop, laag tarief (9%);Scheepjesbrug 433 Meerkerk borg en afrek;50402 - Flextalent4u Uitzenden B.V.;; 234,35 
26-08-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg credit;50282 - DIT en Larex Vakpersoneel B.V.;; 4.828,18 
13-08-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV;; 6.984,98 
29-08-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg credit;100195 - FISSH B.V.; 56,22 ;
25-08-2025;1200 - Debiteuren;Putter 42 Etten Leur 2025-9 + borg;100228 - I–Housing Vastgoed Beheer B.V.; 5.313,96 ;
26-08-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-8 + borg credit;50282 - DIT en Larex Vakpersoneel B.V.; 398,66 ;
05-08-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV;; 5.255,22 
26-08-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.; 4.656,43 ;
04-08-2025;1000 - Kas;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy; 4.180,01 ;
01-08-2025;1600 - Btw verkoop, hoog tarief (21%);Scheepjesbrug 433 Meerkerk borg en afrek;50402 - Flextalent4u Uitzenden B.V.;; 520,05 
05-08-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV; 152,25 ;
13-08-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV; 181,08 ;
29-08-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg;100195 - FISSH B.V.;; 171,15 
13-08-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV; 6.984,98 ;
15-08-2025;1200 - Debiteuren;Prunuslaan 36 Nieuwolda 2025-08 + borg;100174 - Workforce Housing Holland B.V.; 4.393,15 ;
22-08-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 349] Hensbroek 02-09 t/m 30-09 + borg;50188 - Werckpost Service B.V.;; 162,75 
04-08-2025;1200 - Debiteuren;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy;; 4.180,01 
13-08-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.; 4.828,18 ;
13-08-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.; 181,08 ;
15-08-2025;1600 - Btw verkoop, hoog tarief (21%);Prunuslaan 36 Nieuwolda 2025-08 + borg;100174 - Workforce Housing Holland B.V.;; 134,40 
26-08-2025;1600 - Btw verkoop, hoog tarief (21%);H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 105,00 
28-08-2025;1601 - Btw verkoop, laag tarief (9%);Beeklaan 294 Den Haag 2025-08 + borg;100233 -  Duijndam Personeelsdiensten B.V.;; 40,83 
13-08-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.;; 6.984,98 
13-08-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 398,66 
15-08-2025;1600 - Btw verkoop, hoog tarief (21%);Oranjestraat 63 Schiedam 2025-08 + borg;50170 - H.T.C. Facility Services B.V.;; 98,70 
13-08-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.; 206,85 ;
26-08-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.; 4.888,18 ;
15-08-2025;1601 - Btw verkoop, laag tarief (9%);Oranjestraat 63 Schiedam 2025-08 + borg;50170 - H.T.C. Facility Services B.V.;; 80,48 
22-08-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huis 349] Hensbroek 02-09 t/m 30-09 + borg;50188 - Werckpost Service B.V.;; 281,02 
26-08-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg credit;50282 - DIT en Larex Vakpersoneel B.V.;; 4.888,18 
01-08-2025;1200 - Debiteuren;Scheepjesbrug 433 Meerkerk borg en afrek;50402 - Flextalent4u Uitzenden B.V.; 2.234,64 ;
25-08-2025;1601 - Btw verkoop, laag tarief (9%);Putter 42 Etten Leur 2025-9 + borg;100228 - I–Housing Vastgoed Beheer B.V.;; 180,79 
13-08-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV;; 206,85 
29-08-2025;1200 - Debiteuren;Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg credit;100195 - FISSH B.V.;; 3.830,28 
28-08-2025;1600 - Btw verkoop, hoog tarief (21%);Beeklaan 294 Den Haag 2025-08 + borg;100233 -  Duijndam Personeelsdiensten B.V.;; 173,25 
26-08-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 121,91 
13-08-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV; 206,85 ;
26-08-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 353,66 
15-08-2025;1601 - Btw verkoop, laag tarief (9%);Prunuslaan 36 Nieuwolda 2025-08 + borg;100174 - Workforce Housing Holland B.V.;; 108,89 
04-08-2025;1200 - Debiteuren;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy; 4.180,01 ;
26-08-2025;1600 - Btw verkoop, hoog tarief (21%);H. Algraplein 25 Franeker 2025-8 + borg credit;50282 - DIT en Larex Vakpersoneel B.V.; 105,00 ;
05-08-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-07 + borg;50311 - Labour Housing BV; 72,49 ;
13-08-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50311 - Labour Housing BV;; 181,08 
26-08-2025;1600 - Btw verkoop, hoog tarief (21%);H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 105,00 
29-08-2025;1200 - Debiteuren;Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg;100195 - FISSH B.V.; 5.157,58 ;
05-08-2025;1500 - Crediteuren;Zwethkade Zuid 30A, 2025-08 + Borg;100226 - Fransen Vastgoed / Holland Huisvesting B.V.;; 4.395,07 
29-08-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg;100195 - FISSH B.V.;; 76,74 
29-08-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huisnummer 74] Den Oever 2025-08 + Borg credit;100195 - FISSH B.V.; 134,40 ;
25-08-2025;1600 - Btw verkoop, hoog tarief (21%);Putter 42 Etten Leur 2025-9 + borg;100228 - I–Housing Vastgoed Beheer B.V.;; 134,40 
22-08-2025;1200 - Debiteuren;Kerkweg 9a [huis 349] Hensbroek 02-09 t/m 30-09 + borg;50188 - Werckpost Service B.V.; 7.616,24 ;
04-08-2025;1000 - Kas;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy;; 4.180,01 
28-08-2025;1200 - Debiteuren;Beeklaan 294 Den Haag 2025-08 + borg;100233 -  Duijndam Personeelsdiensten B.V.; 6.092,78 ;
26-08-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-8 + borg credit;50282 - DIT en Larex Vakpersoneel B.V.; 353,66 ;
15-08-2025;1200 - Debiteuren;Oranjestraat 63 Schiedam 2025-08 + borg;50170 - H.T.C. Facility Services B.V.; 3.143,43 ;
18-09-2025;1200 - Debiteuren;Kimbrenoord 15 Rotterdam afrekening + borg;100173 - MK Contracting BV;; 1.666,30 
09-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 14] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.; 3.482,17 ;
05-09-2025;1500 - Crediteuren;Aperta Estate Management restitutie waarborgsom;100193 - Aperta Estate Management; 4.000,00 ;
26-09-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huis 269] Hensbroek 2025-09 + borg;50445 - UAB Toromega;; 20,19 
15-09-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg;100239 - Kapitein & Personeel B.V; 7.834,75 ;
15-09-2025;1601 - Btw verkoop, laag tarief (9%);Van Maanenstraat 14a 2025-09 + borg;50448 - Focuzop-eu;; 78,12 
16-09-2025;1601 - Btw verkoop, laag tarief (9%);Beatrixstraat 3, 2025-10 + Borg;50295 - Impes Service S.p.A.;; 221,04 
26-09-2025;1200 - Debiteuren;Kerkweg 9a [huis 269] Hensbroek 2025-09 + borg;50445 - UAB Toromega; 3.293,97 ;
15-09-2025;1600 - Btw verkoop, hoog tarief (21%);Van Maanenstraat 14a 2025-09 + borg;50448 - Focuzop-eu;; 92,40 
15-09-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk  2025-10 + borg;100239 - Kapitein & Personeel B.V;; 162,75 
15-09-2025;1600 - Btw verkoop, hoog tarief (21%);Beatrixstraat 3, 2025-09 + Borg;50295 - Impes Service S.p.A.;; 74,55 
15-09-2025;1601 - Btw verkoop, laag tarief (9%);Beatrixstraat 3, 2025-09 + Borg;50295 - Impes Service S.p.A.;; 221,04 
09-09-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 42] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 224,70 
15-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 58] Den Oever borg;100191 - Buurman Vastgoed E B.V.; 1.000,00 ;
08-09-2025;1000 - Kas;H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.; 4.888,18 ;
09-09-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 58] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 93,21 
04-09-2025;1600 - Btw verkoop, hoog tarief (21%);Tholenstraat 114 Rotterdam afrek en borg;100109 - Europe-jobs B.V.;; 98,68 
18-09-2025;1600 - Btw verkoop, hoog tarief (21%);Fabristraat 34ABSchiedam afrekening + borg;50426 - GSI B.V.;; 551,63 
15-09-2025;1200 - Debiteuren;Voorstraat 25 Vlaardingen Borg correctie;100174 - Workforce Housing Holland B.V.; 2.150,00 ;
18-09-2025;1601 - Btw verkoop, laag tarief (9%);Fabristraat 34A Schiedam afrekening + borg;50426 - GSI B.V.;; 16,32 
29-09-2025;1200 - Debiteuren;Kerkweg 9a [huis 137]  Hensbroek 2025-9 + borg;50445 - UAB Toromega; 3.022,94 ;
18-09-2025;1601 - Btw verkoop, laag tarief (9%);Fabristraat 34ABSchiedam afrekening + borg;50426 - GSI B.V.;; 16,65 
08-09-2025;1000 - Kas;Johan Willem Frisostraat 36 Sneek 2025-5 + borg;33 - Team Home Rentals B.V.; 211,75 ;
26-09-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 269] Hensbroek 2025-09 + borg;50445 - UAB Toromega;; 134,40 
09-09-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 14] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 185,61 
09-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 58] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.; 1.800,38 ;
09-09-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 58] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 116,55 
15-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 42] Den Oever borg;100191 - Buurman Vastgoed E B.V.; 2.300,00 ;
29-09-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huis 137]  Hensbroek 2025-9 + borg;50445 - UAB Toromega;; 16,42 
15-09-2025;1601 - Btw verkoop, laag tarief (9%);Dieptol 63 Steenwijk  2025-10 + borg;100239 - Kapitein & Personeel B.V;; 297,00 
29-09-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 137]  Hensbroek 2025-9 + borg;50445 - UAB Toromega;; 169,05 
09-09-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 14] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 214,20 
08-09-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-8 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 4.888,18 
16-09-2025;1200 - Debiteuren;Beatrixstraat 3, 2025-10 + Borg;50295 - Impes Service S.p.A.; 6.156,62 ;
15-09-2025;1200 - Debiteuren;Beatrixstraat 3, 2025-09 + Borg;50295 - Impes Service S.p.A.; 6.156,62 ;
15-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 14] Den Oever borg;100191 - Buurman Vastgoed E B.V.; 1.700,00 ;
18-09-2025;1600 - Btw verkoop, hoog tarief (21%);Kimbrenoord 15 Rotterdam afrekening + borg;100173 - MK Contracting BV;; 63,84 
18-09-2025;1200 - Debiteuren;Fabristraat 34A Schiedam afrekening + borg;50426 - GSI B.V.; 1.455,56 ;
09-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 42] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.; 4.294,14 ;
15-09-2025;1200 - Debiteuren;Voorstraat 25 Vlaardingen Borg correctie;100237 - Workforce Housing International B.V;; 2.150,00 
04-09-2025;1601 - Btw verkoop, laag tarief (9%);Tholenstraat 114 Rotterdam afrek en borg;100109 - Europe-jobs B.V.;; 18,01 
09-09-2025;1200 - Debiteuren;Akkerweg 41 [huis 20] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.; 3.625,45 ;
09-09-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 42] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 247,66 
30-09-2025;1200 - Debiteuren;Goudestein 30 Rotterdam afrek + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 701,33 
04-09-2025;1200 - Debiteuren;Tholenstraat 114 Rotterdam afrek en borg;100109 - Europe-jobs B.V.;; 798,34 
30-09-2025;1601 - Btw verkoop, laag tarief (9%);Goudestein 30 Rotterdam afrek + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 22,81 
18-09-2025;1200 - Debiteuren;Fabristraat 34ABSchiedam afrekening + borg;50426 - GSI B.V.; 1.580,12 ;
08-09-2025;1200 - Debiteuren;Johan Willem Frisostraat 36 Sneek 2025-5 + borg;33 - Team Home Rentals B.V.;; 211,75 
09-09-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 20] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 192,45 
16-09-2025;1600 - Btw verkoop, hoog tarief (21%);Beatrixstraat 3, 2025-10 + Borg;50295 - Impes Service S.p.A.;; 74,55 
18-09-2025;1600 - Btw verkoop, hoog tarief (21%);Fabristraat 34A Schiedam afrekening + borg;50426 - GSI B.V.;; 530,71 
15-09-2025;1200 - Debiteuren;Van Maanenstraat 14a 2025-09 + borg;50448 - Focuzop-eu; 3.128,47 ;
30-09-2025;1600 - Btw verkoop, hoog tarief (21%);Goudestein 30 Rotterdam afrek + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 285,93 
18-09-2025;1601 - Btw verkoop, laag tarief (9%);Kimbrenoord 15 Rotterdam afrekening + borg;100173 - MK Contracting BV;; 21,95 
09-09-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 20] Den Oever 2025-09 + borg;100191 - Buurman Vastgoed E B.V.;; 224,70 
02-10-2025;1200 - Debiteuren;Jasmijnring 37 Zundert 2025-10 + borg;50170 - H.T.C. Facility Services B.V.; 7.797,26 ;
09-10-2025;1200 - Debiteuren;Lavendelpad 6 's-Gravendeel 2025-10 + borg;50154 - OJP B.V.; 9.034,21 ;
22-10-2025;1600 - Btw verkoop, hoog tarief (21%);Miltonstraat 55  Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.;; 84,00 
07-10-2025;1601 - Btw verkoop, laag tarief (9%);Plaats 10 Montfoort 2025-10 + borg;100137 - Estra Logistics Systems B.V.;; 151,79 
06-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg;100239 - Kapitein & Personeel B.V;; 7.834,75 
22-10-2025;1601 - Btw verkoop, laag tarief (9%);Miltonstraat 55  Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.;; 130,50 
